qty,standard,1gloss,1matt,2gloss,2matt
50,164.21,,,,
100,170.02,282.34,284.77,343.45,348.3
250,208.44,341.33,348.06,417.31,430.79
500,240.74,387.11,400.6,476.59,503.55
1000,321.37,518.24,545.21,650.01,703.96
2500,507.24,879.9,943.45,1152.66,1279.76
5000,879.24,1513.66,1631.46,1995.94,2231.54
7500,1065.56,1841.99,1990.56,2440.41,2737.55
10000,1394.64,2465.95,2671.56,3287.4,3698.65
12500,1743.85,3054.31,3311.35,4089.14,4603.19
15000,2093.06,3655.78,3964.21,4877.79,5494.65
20000,2720.49,4800.81,5212.05,6423.36,7245.85
25000,3416.55,5988.29,6502.34,8024.48,9052.59
30000,4054.27,7143.61,7760.48,9567.26,10800.99
35000,4750.33,8331.09,9050.76,11168.37,12607.73
40000,5388.05,9486.41,10308.9,12711.15,14356.13
45000,6015.49,10618.35,11543.65,14256.74,16107.33
50000,6713.9,11821.27,12849.39,15860.21,17916.42
60000,9269.05,16057.66,17426.99,21429.64,24168.29
70000,11118.36,19026.9,20624.44,25288.01,28483.1
80000,12632.91,21675.89,23501.65,28826.14,32477.66
90000,13841.27,24004.16,26058.15,32043.56,36151.53
100000,15257.29,26540.09,28822.3,35483.16,40047.57
