qty,standard
50,161.06
100,182.97
250,216.34
500,237.83
1000,283.15
2500,421.85
5000,604.69
7500,746.44
10000,971.76
12500,1158.35
15000,1415.93
20000,1857.74
25000,2241.22
30000,2685.39
35000,3137.49
40000,3581.66
45000,3954.85
50000,4406.95
60000,5877.41
70000,6793.4
80000,7788.18
90000,8695.36
100000,9690.15
