qty,standard
50,161.6
100,182.3
250,211.71
500,226.98
1000,259.95
2500,355.57
5000,489.78
7500,538.88
10000,699.21
12500,899.74
15000,1049.87
20000,1321.62
25000,1664.35
30000,1944.04
35000,2286.76
40000,2558.51
45000,2898.89
50000,3180.92
60000,4221.34
70000,4912.16
80000,5594.17
90000,6284.99
100000,6975.81
