qty,standard
50,209.18
100,213.08
250,249.75
500,271.4
1000,318.19
2500,451.45
5000,641.96
7500,727.71
10000,1021.46
12500,1216.56
15000,1411.66
20000,1872.84
25000,2334.02
30000,2724.22
35000,3185.4
40000,3646.58
45000,4036.78
50000,4497.96
60000,5937.26
70000,6949.57
80000,7905.94
90000,8850.89
100000,9863.2
