qty,standard,1gloss,1matt,2gloss,2matt
50,163.3,,,,
100,168.2,280.53,282.95,341.63,346.49
250,203.39,336.28,343.02,412.26,425.75
500,230.65,377.02,390.51,466.49,493.46
1000,301.19,498.05,525.03,629.84,683.77
2500,459.68,832.34,895.89,1105.1,1232.2
5000,770.2,1404.62,1522.42,1886.89,2122.49
7500,880.61,1657.05,1805.61,2255.47,2552.6
10000,1214.59,2272.8,2478.43,3094.26,3505.5
12500,1456.7,2767.17,3024.2,3801.99,4316.05
15000,1757.15,3319.86,3628.3,4541.87,5158.74
20000,2299.7,4366.93,4778.17,5989.49,6811.96
25000,2842.25,5413.99,5928.05,7450.19,8478.29
30000,3384.8,6461.05,7077.91,8897.8,10131.52
35000,3927.36,7508.11,8227.79,10345.4,11784.75
40000,4469.91,8555.18,9377.66,11793.01,13437.99
45000,5022.75,9625.62,10550.91,13250.91,15101.51
50000,5565.31,10672.69,11700.79,14711.61,16767.84
60000,7381.46,14170.08,15539.4,19542.05,22280.7
70000,8585.83,16494.36,18091.9,22755.47,25950.56
80000,10057.16,19085.61,20911.37,26250.4,29901.92
90000,11240.64,21403.53,23457.51,29442.93,33550.9
100000,12904.61,24187.42,26469.63,33130.49,37694.9
