qty,standard
50,143.57
100,145.28
250,167.25
500,176.74
1000,196.9
2500,244.72
5000,329.99
7500,361.8
10000,455.44
12500,543.2
15000,691.65
20000,861.61
25000,1029.2
30000,1265.43
35000,1435.38
40000,1602.98
45000,1839.2
50000,2009.15
60000,2678.3
70000,3052.95
80000,3503.76
90000,3951.96
100000,4326.61
