qty,standard
50,143.82
100,145.79
250,168.65
500,179.55
1000,202.51
2500,270.68
5000,363.61
7500,392.74
10000,506.19
12500,596.73
15000,755.89
20000,955.19
25000,1144.2
30000,1404.19
35000,1601.13
40000,1850.83
45000,2050.13
50000,2239.14
60000,2983.71
70000,3490.86
80000,3989.2
90000,4484.94
100000,4915.92
