qty,standard
50,207.09
100,213.31
250,257.89
500,292.44
1000,378.77
2500,579.76
5000,950.81
7500,1091.18
10000,1493.66
12500,1844.31
15000,2157.66
20000,2813.71
25000,3535.6
30000,4199.59
35000,4863.59
40000,5519.65
45000,6241.53
50000,6905.52
60000,9129.75
70000,10995.88
80000,12911.82
90000,14507.53
100000,15782.51
