qty,standard
50,243.88
100,247.49
250,287.19
500,307.26
1000,350.61
2500,471.64
5000,644.67
7500,716.41
10000,995.9
12500,1177.11
15000,1358.33
20000,1791.74
25000,2225.15
30000,2587.58
35000,3020.99
40000,3444.11
45000,3816.83
50000,4250.24
60000,5592
70000,6475.3
80000,7437.4
90000,8320.7
100000,9204.01
