qty,standard
50,181.94
100,183.31
250,208.42
500,216.09
1000,232.79
2500,269.14
5000,338.06
7500,348.71
10000,437.09
12500,504.21
15000,571.35
20000,713.55
25000,916.44
30000,1068.92
35000,1203.19
40000,1345.38
45000,1548.27
50000,1692.82
60000,2194.66
70000,2580.29
80000,2895.94
90000,3281.56
100000,3588.41
