qty,standard,1gloss,1matt,2gloss,2matt
50,346.21,,,,
100,360.21,742.15,747.65,1008.03,1019.03
250,447.09,889.79,905.06,1203.54,1234.09
500,538.42,1011.67,1042.22,1355.98,1417.09
1000,713.09,1335.5,1396.6,1810.42,1932.64
2500,1253.67,2428.04,2572.03,3376.05,3664.01
5000,2082.43,4078.74,4345.64,5730.31,6264.11
7500,2468.92,4910.74,5247.35,6949.24,7622.45
10000,3366.3,6693.34,7159.21,9483.94,10415.7
12500,4159.46,8278.85,8861.2,11744.05,12908.75
15000,4907.37,9819.12,10517.94,13958.9,15356.55
20000,6456.37,12952.84,13884.6,18441.8,20305.32
25000,8303.79,16384.99,17549.69,23223.12,25552.52
30000,10321.84,19987.75,21385.39,28175.06,30970.34
35000,11906.78,23157.41,24788,32693.9,35955.06
40000,13202.77,26038.14,27901.65,37110.89,40837.93
45000,14685.86,29105.94,31202.4,41340.78,45533.7
50000,16083.13,32087.94,34417.34,45671.95,50330.75
60000,21222.15,42503.74,45606.24,60575.62,66780.61
70000,24300.41,49099.79,52719.36,70166.59,77405.74
80000,27752.55,56069.71,60206.37,80265.75,88539.07
90000,31408.71,63243.65,67897.39,90300.27,99607.76
100000,34685.76,70038.48,75209.3,100250.28,110591.93
