qty,standard,1gloss,1matt,2gloss,2matt
50,234.35,,,,
100,239.63,408.2,410.62,525.55,530.4
250,283.98,479.36,486.11,617.85,631.33
500,313.29,522.16,535.65,674.12,701.1
1000,389.19,663.9,690.86,873.51,927.45
2500,560.16,1078.48,1142.03,1496.9,1623.99
5000,890.41,1771.51,1889.31,2500.45,2736.05
7500,1004.46,2082.19,2230.76,2981.91,3279.04
10000,1366.8,2835.22,3040.85,4066.89,4478.14
12500,1632.55,3450.7,3707.72,4993.19,5507.25
15000,1956.64,4124.5,4432.93,5951.64,6568.5
20000,2546.48,5413.77,5825.01,7836.39,8658.88
25000,3136.31,6703.05,7217.1,9734.23,10762.34
30000,3726.15,7992.32,8609.19,11618.98,12852.71
35000,4315.99,9281.59,10001.27,13503.73,14943.08
40000,4905.83,10570.86,11393.35,15388.48,17033.45
45000,5505.95,11883.52,12808.82,17283.51,19134.11
50000,6095.79,13172.8,14200.9,19181.35,21237.57
60000,8075.21,17482.64,18851.95,25473.4,28212.05
70000,9384.55,20344.57,21942.11,29657.19,32852.27
80000,10960.84,23473.49,25299.25,34122.47,37774
90000,12249.29,26329.07,28383.05,38285.36,42393.34
100000,14018.23,29650.63,31932.84,42943.3,47507.7
