qty,standard
50,228.84
100,231.95
250,268.24
500,285.54
1000,322.87
2500,427.67
5000,576.39
7500,635.85
10000,877.95
12500,1045.43
15000,1194.68
20000,1580.04
25000,1894.4
30000,2271.82
35000,2586.19
40000,2971.55
45000,3277.99
50000,3663.34
60000,4833.91
70000,5601.74
80000,6378.36
90000,7146.18
100000,7990.16
