qty,standard
50,201.25
100,203.44
250,233.5
500,245.69
1000,272
2500,347.04
5000,451.17
7500,480.47
10000,611.91
12500,717.1
15000,890.91
20000,1119.51
25000,1337.81
30000,1627.1
35000,1845.41
40000,2132.35
45000,2360.94
50000,2579.25
60000,3426.25
70000,3998.44
80000,4561.81
90000,5046.42
100000,5618.61
