qty,standard
50,169.59
100,170.44
250,192.19
500,196.9
1000,207.35
2500,227
5000,259.14
7500,258.88
10000,321.56
12500,364.11
15000,406.66
20000,499.69
25000,584.8
30000,669.9
35000,762.93
40000,848.03
45000,1001.75
50000,1086.85
60000,1415.44
70000,1604.34
80000,1802.05
90000,2067.13
100000,2267.46
