qty,standard
50,152.96
100,153.38
250,171.81
500,174.15
1000,179.33
2500,184.65
5000,195.29
7500,184.49
10000,212.58
12500,233.65
15000,254.73
20000,307.16
25000,349.3
30000,391.45
35000,441.53
40000,483.67
45000,525.81
50000,567.96
60000,723.94
70000,826.3
80000,919.85
90000,1089.57
100000,1183.13
