qty,standard
50,168.32
100,169.41
250,192.04
500,198.14
1000,211.29
2500,238.09
5000,292.62
7500,296.5
10000,368.35
12500,420.95
15000,473.54
20000,586.66
25000,691.85
30000,865.66
35000,981.14
40000,1094.26
45000,1207.38
50000,1312.56
60000,1778.04
70000,2020.34
80000,2338.81
90000,2592.54
100000,2834.84
