qty,standard
50,202.54
100,204.23
250,232.56
500,241.96
1000,262.89
2500,310.9
5000,397.45
7500,416.15
10000,525.01
12500,610.11
15000,695.21
20000,873.34
25000,1112.17
30000,1300.59
35000,1470.79
40000,1648.93
45000,1887.75
50000,2068.24
60000,2690.98
70000,3156.38
80000,3543
90000,4005.79
100000,4403.82
