qty,standard,1gloss,1matt,2gloss,2matt
50,344.15,,,,
100,356.1,738.03,743.53,1003.91,1014.91
250,435.65,878.35,893.63,1192.1,1222.65
500,515.55,988.8,1019.36,1333.11,1394.21
1000,667.36,1289.76,1350.87,1764.69,1886.9
2500,1123.39,2297.75,2441.74,3245.75,3533.72
5000,1789.07,3785.39,4052.29,5436.96,5970.75
7500,2130.66,4572.46,4909.08,6610.96,7284.19
10000,2854.25,6181.28,6647.16,8971.89,9903.65
12500,3504.7,7624.09,8206.44,11089.29,12253.99
15000,4147.21,9058.96,9757.79,13198.75,14596.39
20000,5498.08,11994.55,12926.31,17483.51,19347.03
25000,6791.05,14872.24,16036.94,21710.38,24039.78
30000,8084.01,17749.94,19147.57,25937.25,28732.52
35000,9675.41,20926.05,22556.63,30462.54,33723.7
40000,10941.63,23776.99,25640.51,35240.14,38967.17
45000,12640.76,27060.85,29157.31,39295.69,43488.61
50000,14051.38,30056.18,32385.58,43640.2,48299
60000,18293.34,39574.94,42677.43,57646.81,63851.81
70000,20895.61,45694.99,49314.56,66761.79,74000.94
80000,23706.37,52023.53,56160.19,76258.75,84532.06
90000,26503.98,58338.91,62992.66,85395.54,94703.03
100000,29061.01,64413.73,69584.55,94906.31,105247.96
