qty,standard
50,240.26
100,244.21
250,284.66
500,306.6
1000,353.96
2500,494.26
5000,683.13
7500,906.88
10000,1170.01
12500,1388.32
15000,1677.61
20000,2182.85
25000,2629.75
30000,3137.35
35000,3652.88
40000,4160.48
45000,4597.09
50000,5112.62
60000,6801.43
70000,7858.22
80000,8993.8
90000,10041.78
100000,11177.35
