qty,standard
50,330.85
100,337.1
250,395.54
500,430.29
1000,519.46
2500,724.98
5000,1093.11
7500,1229.49
10000,1643.96
12500,1966.39
15000,2344.35
20000,3034.45
25000,3724.55
30000,4422.57
35000,5112.67
40000,5802.76
45000,6492.86
50000,7182.96
60000,9513.23
70000,11045.11
80000,12986.8
90000,14978.3
100000,16328.85
