qty,standard
50,155.2
100,155.86
250,175.52
500,179.19
1000,187.1
2500,199.75
5000,221.3
7500,216.35
10000,266.56
12500,298.21
15000,329.85
20000,401.07
25000,464.36
30000,527.65
35000,598.87
40000,662.16
45000,794.07
50000,857.36
60000,1112.44
70000,1252.93
80000,1402.22
90000,1618.88
100000,1770.79
