qty,standard
50,399.85
100,406.65
250,474.61
500,512.35
1000,596.3
2500,837.84
5000,1176.87
7500,1402
10000,1804.85
12500,2225.32
15000,2582.74
20000,3352.69
25000,4130.57
30000,4908.46
35000,5686.34
40000,6464.22
45000,7234.18
50000,8012.06
60000,10608.1
70000,12258.69
80000,13985.44
90000,15961.55
100000,17667.42
