qty,standard
50,228.48
100,231.24
250,256.19
500,281.61
1000,315.01
2500,409.14
5000,542.04
7500,584.89
10000,749.38
12500,952.26
15000,1104.75
20000,1381.21
25000,1728.65
30000,2013.05
35000,2360.49
40000,2644.89
45000,2992.33
50000,3268.79
60000,4329.46
70000,5030.74
80000,5732.01
90000,6433.29
100000,7134.57
