qty,standard,1gloss,1matt,2gloss,2matt
50,335.12,,,,
100,347.49,684.63,689.49,919.33,929.04
250,427.46,818.25,831.74,1095.21,1122.18
500,509.68,927.43,954.4,1231.35,1285.29
1000,665.09,1214.5,1268.44,1633.72,1741.6
2500,1168.24,2204.88,2331.98,3041.71,3295.9
5000,1855.75,3632.94,3868.54,5090.82,5562.02
7500,2278.48,4433.92,4731.05,6233.35,6827.62
10000,3039.89,5989.83,6401.07,8453.16,9275.65
12500,3783.23,7419.51,7933.57,10491.41,11519.53
15000,4468.24,8817.05,9433.91,12471.34,13705.06
20000,5896.59,11644.27,12466.76,16489.51,18134.48
25000,7317,14463.56,15491.66,20512.84,22569.05
30000,9048.76,17594.19,18827.91,24834.41,27301.87
35000,10809.52,20753.82,22193.17,29185,32063.7
40000,12268.66,23624.93,25269.9,33247.05,36537
45000,13451.95,26207.08,28057.67,37020.15,40721.34
50000,14822.31,28976.31,31032.54,40993.44,45105.86
60000,19511.45,38326.29,41064.93,54307.83,59785.11
70000,22311.62,44231.68,47426.76,62871.44,69261.61
80000,25125.15,50164.96,53816.49,71448.4,78751.46
90000,28327.09,56472.13,60580.1,80399.25,88615.19
100000,31582.38,62832.65,67397.06,89417.99,98546.81
