qty,standard
50,230.14
100,232.54
250,266.39
500,279.73
1000,309.4
2500,381.19
5000,503.44
7500,547.26
10000,688.82
12500,817.5
15000,938.25
20000,1258.67
25000,1508.1
30000,1757.54
35000,2077.95
40000,2327.39
45000,2576.82
50000,2897.24
60000,3769.35
70000,4401.84
80000,5034.31
90000,5588.01
100000,6220.49
