qty,standard
50,151.64
100,152.12
250,170.76
500,173.44
1000,179.27
2500,186.28
5000,199.4
7500,190.03
10000,220.74
12500,254.45
15000,277.89
20000,324.75
25000,379.54
30000,426.4
35000,473.26
40000,520.12
45000,566.99
50000,621.78
60000,794.28
70000,974.46
80000,1089.91
90000,1202.74
100000,1306.76
