qty,standard
50,322.27
100,328.5
250,385.9
500,420.5
1000,508.66
2500,710.58
5000,1088.24
7500,1219.9
10000,1651.69
12500,1966.06
15000,2343.49
20000,3043.2
25000,3735
30000,4426.79
35000,5118.57
40000,5818.3
45000,6510.09
50000,7270.5
60000,9616.76
70000,11161.21
80000,13024.8
90000,15020.05
100000,16388.89
