qty,standard
50,155.13
100,155.71
250,175.1
500,178.36
1000,185.44
2500,195.82
5000,214.02
7500,207.17
10000,253.85
12500,282.31
15000,310.79
20000,375.65
25000,432.59
30000,489.51
35000,546.45
40000,611.31
45000,668.25
50000,725.18
60000,1018.99
70000,1154.17
80000,1280.55
90000,1415.74
100000,1542.11
