qty,standard
50,212.41
100,215.15
250,248.34
500,263.57
1000,296.75
2500,391.27
5000,524.46
7500,569.25
10000,732.25
12500,921.16
15000,1072.76
20000,1347.44
25000,1680.01
30000,1962.63
35000,2295.2
40000,2569.89
45000,2910.39
50000,3185.07
60000,4218.06
70000,4900.87
80000,5583.67
90000,6266.47
100000,6940.46
