qty,standard
50,333.02
100,338.46
250,394.21
500,424.44
1000,491.69
2500,679.08
5000,951.95
7500,1125.1
10000,1459.69
12500,1741.21
15000,2080.62
20000,2643.66
25000,3264.59
30000,3893.45
35000,4504.09
40000,5077.41
45000,5698.35
50000,6327.21
60000,8336.69
70000,9715.04
80000,11037.94
90000,12416.28
100000,13739.17
