qty,standard
50,156.46
100,156.97
250,176.11
500,178.94
1000,185.24
2500,193.58
5000,208.75
7500,200.18
10000,233.39
12500,258.99
15000,294.89
20000,346.09
25000,397.29
30000,456.42
35000,507.63
40000,558.83
45000,610.04
50000,661.24
60000,856.37
70000,970.04
80000,1159.86
90000,1284.94
100000,1407.4
