qty,standard
50,323.64
100,328.44
250,380.94
500,407.63
1000,466.99
2500,632
5000,871.55
7500,973.09
10000,1330.51
12500,1579.95
15000,1829.38
20000,2399.23
25000,2969.08
30000,3467.95
35000,4037.8
40000,4607.65
45000,5106.51
50000,5676.36
60000,7486.4
70000,8739.94
80000,9937.54
90000,11123.71
100000,12377.25
