qty,standard
50,201
100,202.94
250,232.11
500,242.92
1000,266.46
2500,321.26
5000,417.87
7500,449.95
10000,561.73
12500,664.29
15000,758.91
20000,1027.07
25000,1224.25
30000,1421.44
35000,1689.6
40000,1886.78
45000,2083.96
50000,2352.12
60000,3048.47
70000,3564.96
80000,4081.45
90000,4519.15
100000,5035.64
