qty,standard
50,331.65
100,338.7
250,400
500,439.19
1000,537.27
2500,766.96
5000,1182.72
7500,1335.29
10000,1798.03
12500,2199.65
15000,2563.97
20000,3321.99
25000,4145.83
30000,4911.78
35000,5677.72
40000,6435.74
45000,7259.58
50000,8025.53
60000,10599.16
70000,12691.62
80000,14833.89
90000,16655.91
100000,18157.21
