qty,standard
50,168.2
100,169.16
250,191.35
500,196.75
1000,208.51
2500,231.55
5000,268.73
7500,281.24
10000,339.29
12500,394.54
15000,441.85
20000,536.47
25000,639.04
30000,733.65
35000,896.9
40000,1001.81
45000,1104.38
50000,1199
60000,1549.76
70000,1847.4
80000,2066.25
90000,2285.1
100000,2582.74
